"nomAttribuant","idAttribuant","typeAttribuant","anneeAttribution","nomBeneficiaire ","typeBeneficiaire ","montant","nature","objetAideNature"
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION ET D ANIMATION DE LA MAISON DES FAMILLES ET DES ASS","Associations",400689,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION ET D ANIMATION DU CENTRE SOCIAL DE MALPASSE","Associations",164169.22,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE GESTION ET D ANIMATION DU CENTRE SOCIO CULTUREL DEL RIO","Associations",305723.55,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE LA COMPAGNIE JULIEN LESTEL","Associations",90000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE LA GARDERIE SAINT FRANCOIS D ASSISE","Associations",35000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE MEDIATION SOCIALE","Associations",488366,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE POLITIQUE CRIMINELLE APPLIQUEE ET DE REINSERTION SOCIALE APCARS","Associations",1200,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE PREFIGURATION DE LA CITE DES ARTS DE LA RUE","Associations",93704,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE PREFIGURATION INCUBATEUR INTER UNIVERSITAIRE DE ACADEMIE AIX MLLE","Associations",40000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE PROMOTION DE L INGENIERIE SOCIO EDUCATIVE APIS","Associations",159529,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DE SOUTIEN A LA MEDIATION ET AUX ANTENNES JURIDIQUES","Associations",12020.39,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DEP D INFORMATION SUR LE LOGEMENT","Associations",5000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DEPTL PROTECTION DES NOURRISSONS DE L ENFANCE ET DE LA FAMILLE APRONEF","Associations",121085.6,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES AMIS DE LA FONDATION POUR LA MEMOIRE DE LA DEPORTATION","Associations",400,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES AMIS DE SAINT VICTOR","Associations",13000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES ANCIENS COMBATTANTS DU MINISTERE DES FINANCES","Associations",300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES CITES DU SECOURS CATHOLIQUE","Associations",3500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES COM ARTISANS ET PROF LIBERALESJOLIETTE REP SCHUMAN DUNK BD DES DAMES","Associations",15000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES COURTS L’APRES MIDI","Associations",825,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES DEPORTES INTERNES RESISTANTS ET PATRIOTES DES BDR","Associations",300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES DONNEURS DE VOIX","Associations",2000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES EQUIPEMENTS COLLECTIFS AIR BEL","Associations",97367,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES EQUIPEMENTS COLLECTIFS LA CASTELLANE","Associations",423394.8,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES EQUIPEMENTS COLLECTIFS LES ESCOURTINES","Associations",333765.74,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES INSTANTS VIDEO NUMERIQUES ET POETIQUES","Associations",28000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES PARALYSES DE FRANCE","Associations",5000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS DES PORTE DRAPEAU DE MARSEILLE ET REGION","Associations",900,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS ESPACE CULTUREL MEDITERRANEE NOMAD CAFE","Associations",1300,"aide en numéraire ; aide en nature","MISE A DISPOSITION DE LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE D AIDE A DOMICILE AFAD","Associations",230453.09,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE DU CENTRE SOCIAL BOIS LEMAITRE","Associations",358499.74,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE DU CENTRE VIE DE BONNEVEINE","Associations",41808,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE MAISON DE LA FAMILLE DESBDR","Associations",1562790.4,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE PARADIS ST GINIEZ","Associations",86234.4,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILIALE ST PIERRE ST PAUL","Associations",61731.2,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FAMILLES DE TRAUMATISES CRANIENS ET DE CEREBRO LESES DES BDR","Associations",1000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FCSE DES HEMOPHILES DES MALADIES WILLEBRAND AUTRES TROUBLES COAGULATION","Associations",1500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FEMMES ET FAMILLES DE FONT VERT","Associations",3772,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS FRANCAISE CONTRE LES MYOPATHIES","Associations",3084.55,"aide en numéraire ; aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS FRANCO RUSSE PERSPECTIVES","Associations",1300,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS GAN AMI","Associations",3500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS GRAND LUMINY","Associations",40000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS GYMNIQUE DE MONTREDON","Associations",3000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS HANDIDENT PACA","Associations",1500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS LA COMPAGNIE","Associations",31411.33,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS LES ENTREPRENEURIALES EN PACA ALEP","Associations",5000,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS LES MINOTS DE L’ESTAQUE","Associations",0,"aide en nature","MISE A DISPOSITION A TITRE GRATUIT DE FLUIDES ET LOCAUX"
"Ville de Marseille",21130055300016,"COM",2019,"ASS MARSEILLAISE D ACCUEIL DES MARINS","Associations",1500,"aide en numéraire",
"Ville de Marseille",21130055300016,"COM",2019,"ASS MARSEILLAISE DES MISSIONS DU MIDI","Associations",4500,"aide en numéraire",
